Name;URL;Author;Price;Number of Ratings;Average Rating
Wuthering Heights;https://www.amazon.in/Wuthering-Heights-Emily-Bront%C3%AB/dp/8172344899/ref=zg_bs_books_65/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Emily Brontë;₹99.00;13,568;4.5 out of 5 stars
Oswaal CBSE MCQs Chapterwise Question Bank For Term I & II, Class 12 (Set of 3 Books) Physics, Chemistry, Mathematics (With the largest MCQ Question Pool for 2021-22 Exam);https://www.amazon.in/Chapterwise-Question-Physics-Chemistry-Mathematics/dp/9354630480/ref=zg_bs_books_66/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Oswaal Editorial Board;₹407.00;79;4.3 out of 5 stars
Oswaal CBSE MCQs Chapterwise For Term I & II, Class 12, English Core (With the largest MCQ Question Pool for 2021-22 Exam);https://www.amazon.in/Chapterwise-English-largest-Question-2021-22/dp/9354635628/ref=zg_bs_books_67/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Oswaal Editorial Board;₹97.00;56;4.4 out of 5 stars
A Modern Approach To Verbal & Non-Verbal Reasoning (2 Colour Edition);https://www.amazon.in/Modern-Approach-Verbal-Non-Verbal-Reasoning/dp/9352832167/ref=zg_bs_books_68/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;R.S. Aggarwal;₹536.00;8,502;4.4 out of 5 stars
Think Like a Monk: The secret of how to harness the power of positivity and be happy now;https://www.amazon.in/Think-Like-Monk-Jay-Shetty/dp/0008386595/ref=zg_bs_books_69/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Jay Shetty;₹320.00;17,979;4.7 out of 5 stars
Brijbhoomi Books And Handicrafts® Bhagavad Gita: Yatharoop;https://www.amazon.in/Bhagavad-Gita-Bhaktivendanta-Swami-Prabhupada/dp/938598618X/ref=zg_bs_books_70/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;not_available;₹250.00;9,837;4.7 out of 5 stars
How to Win Friends and Influence People;https://www.amazon.in/How-Win-Friends-Influence-People/dp/8129140179/ref=zg_bs_books_71/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Dale Carnegie;₹95.00;55,287;4.5 out of 5 stars
My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals, Professions, Opposite ... Parts of The Body and Objects Around Us.;https://www.amazon.in/First-1000-Words-Transport-Professions/dp/9388144112/ref=zg_bs_books_72/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Wonder House Books;₹149.00;3,789;4.5 out of 5 stars
CTET & STETs Paper 1 and Paper 2 both: Child Development and Pedagogy with Previous Year Papers 2011-19;https://www.amazon.in/CTET-STETs-Paper-both-Development/dp/B07S7RH2J4/ref=zg_bs_books_73/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Himanshi Singh;₹280.00;1,447;4.3 out of 5 stars
SSC Constable GD Exam Guide 2021;https://www.amazon.in/SSC-Constable-Exam-Guide-2021/dp/9325295423/ref=zg_bs_books_74/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Arihant Experts;₹156.00;354;4.2 out of 5 stars
Xam Idea CBSE MCQs Chapterwise For Term I, Class 10 Mathematics, Science & Social Science (Set of 3) (With massive Question Bank and OMR Sheets for real-time practise);https://www.amazon.in/Chapterwise-Mathematics-Question-real-time-practise/dp/B09DGWX4BR/ref=zg_bs_books_75/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P&smid=A1YW7K5MZRMS1M;not_available;₹475.00;12;4.5 out of 5 stars
Wren & Martin High School English Grammar And Composition Book (Regular Edition);https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144/ref=zg_bs_books_76/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Rao N;₹313.00;6,749;4.5 out of 5 stars
T.S. Grewal's An Aid to Accountancy for CBSE class 12 (Term1) 2021-22 Examination;https://www.amazon.in/Grewals-Accountancy-class-2021-22-Examination/dp/9390851246/ref=zg_bs_books_77/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;not_available;₹192.00;2;3.0 out of 5 stars
Colour With Crayons Book 1 for Kids Age 1 -6 Years - Drawing and Colouring Book for Early Learners;https://www.amazon.in/Colour-Crayons-Part-Dreamland-Publications/dp/1730175066/ref=zg_bs_books_78/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;not_available;₹42.00;4,177;4.2 out of 5 stars
Oswaal ICSE MCQs Chapterwise Question Bank Class 10 (Set of 8 Books) Eng P- 1 & Eng P-2, Maths, Physics, Chem, Bio, Geo, His & Civ (For Semester 1, 2021-22 Exam with the largest MCQ Question Pool);https://www.amazon.in/Chapterwise-Question-Physics-Semester-2021-22/dp/9354633730/ref=zg_bs_books_79/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;not_available;₹857.00;not_available;not_available
Wings of Fire: An Autobiography of Abdul Kalam;https://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461/ref=zg_bs_books_80/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;not_available;₹250.00;9,617;4.6 out of 5 stars
Objective NCERT at your Fingertips for NEET-AIIMS - Chemistry;https://www.amazon.in/Objective-NCERT-your-Fingertips-NEET-AIIMS/dp/9389971268/ref=zg_bs_books_81/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;MTG Editorial Board;₹474.00;1,840;4.5 out of 5 stars
Alchemist;https://www.amazon.in/Alchemist-Paulo-Coelho/dp/9390085195/ref=zg_bs_books_82/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Paulo Coelho;₹174.00;635;4.5 out of 5 stars
CBSE New Pattern Mathematics Class 9 for 2021-22 Exam (MCQs based book for Term 1);https://www.amazon.in/Pattern-Mathematics-Class-2021-22-based/dp/9325793598/ref=zg_bs_books_83/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;not_available;₹88.00;3;4.4 out of 5 stars
CBSE New Pattern Science Class 9 for 2021-22 Exam (MCQs based book for Term 1);https://www.amazon.in/Pattern-Science-Class-2021-22-based/dp/9325793601/ref=zg_bs_books_84/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;not_available;₹70.00;3;4.6 out of 5 stars
Pride & Prejudice;https://www.amazon.in/Pride-Prejudice-Jane-Austen/dp/8172344503/ref=zg_bs_books_85/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Jane Austen;₹99.00;21,788;4.5 out of 5 stars
One Arranged Murder;https://www.amazon.in/One-Arranged-Murder-Chetan-Bhagat/dp/1542094135/ref=zg_bs_books_86/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Chetan Bhagat;₹152.00;14,770;4.4 out of 5 stars
CBSE New Pattern English Language and Literature Class 10 for 2021-22 Exam (MCQs based book for Term 1);https://www.amazon.in/Pattern-English-Language-Literature-2021-22/dp/9325793199/ref=zg_bs_books_87/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;not_available;₹105.00;21;3.7 out of 5 stars
General Knowledge 2022;https://www.amazon.in/General-Knowledge-2022-Manohar-Pandey/dp/932529558X/ref=zg_bs_books_88/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Manohar Pandey;₹145.00;1,171;4.3 out of 5 stars
Oswaal CBSE MCQs Chapterwise For Term I & II, Class 10 (Set of 5 Books) English, Mathematics Standard, Science, Social Science, Hindi B (With the largest MCQ Question Pool for 2021-22 Exam);https://www.amazon.in/Chapterwise-English-Mathematics-Standard-Question/dp/9354630073/ref=zg_bs_books_89/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Oswaal Editorial Board;₹740.00;99;4.5 out of 5 stars
My First Little Librarian: Boxset of 12 Best Board Books for Kids;https://www.amazon.in/My-First-Little-Librarian-Boxset/dp/B08MLC2GD6/ref=zg_bs_books_90/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;not_available;₹395.00;1,464;4.4 out of 5 stars
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi);https://www.amazon.in/Avchetan-Shakti-Power-Subconscious-Hindi/dp/8175993669/ref=zg_bs_books_91/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Joseph Murphy;₹99.00;5,164;4.4 out of 5 stars
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth;https://www.amazon.in/Mahatma-Gandhi-Autobiography-Story-Experiments/dp/8172343116/ref=zg_bs_books_92/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;not_available;₹99.00;4,737;4.5 out of 5 stars
Think and Grow Rich;https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911/ref=zg_bs_books_93/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Napoleon Hill;₹135.00;57,024;4.5 out of 5 stars
Think & Grow Rich (Hindi);https://www.amazon.in/Think-Grow-Rich-Hindi-Napoleon/dp/8175993561/ref=zg_bs_books_94/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Napoleon Hill;₹106.00;4,144;4.4 out of 5 stars
The Monk Who Sold His Ferrari;https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X/ref=zg_bs_books_95/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Robin Sharma;₹162.00;17,537;4.5 out of 5 stars
Who Will Cry When You Die?;https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324/ref=zg_bs_books_96/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Robin Sharma;₹135.00;11,761;4.5 out of 5 stars
Xam Idea CBSE MCQs Chapterwise For Term I, Class 10 Science (With massive Question Bank and OMR Sheets for real-time practise);https://www.amazon.in/Chapterwise-Science-Question-real-time-practise/dp/9391003907/ref=zg_bs_books_97/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Xamidea Editorial Board;₹179.00;31;4.9 out of 5 stars
The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by Sudha Murty for ages 8–12;https://www.amazon.in/Magic-Lost-Temple-Sudha-Murty/dp/014333316X/ref=zg_bs_books_98/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;not_available;₹150.00;4,456;4.7 out of 5 stars
Trading in the Zone: Master the Market with Confidence, Discipline, and a Winning Attitude;https://www.amazon.in/Trading-Zone-Confidence-Discipline-Attitude/dp/0735201447/ref=zg_bs_books_99/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P;Mark Douglas;₹733.00;2,844;4.5 out of 5 stars
Refreshing Mandala- Colouring Book for Adults Book 1;https://www.amazon.in/Refreshing-Mandala-Colouring-Book-Adults/dp/9350897601/ref=zg_bs_books_100/257-7553324-7771737?_encoding=UTF8&psc=1&refRID=MS50JHCRWPZ70TCCJB4P&smid=AT95IG9ONZD7S;not_available;₹125.00;5,293;4.6 out of 5 stars
