Name;URL;Author;Price;Number of Ratings;Average Rating;Type
"Certificate Physical And Human Geography; Indian Edition";https://www.amazon.in/Certificate-Physics-Human-Geography-Indian/dp/0195628160/ref=zg_bs_books_24/257-4516497-4787268?pd_rd_i=0195628160&psc=1;not_available;₹259.00;11,297;4.5 out of 5 stars;Paperback
1984;https://www.amazon.in/1984-George-Orwell/dp/9389053730/ref=zg_bs_books_25/257-4516497-4787268?pd_rd_i=9389053730&psc=1;George Orwell;₹79.00;61,779;4.5 out of 5 stars;Paperback
Introductory Macro Economics for Class 12 - CBSE - by Sandeep Garg Examination 2022-23;https://www.amazon.in/Introductory-Macro-Economics-Class-Examination/dp/B09RV2Z55D/ref=zg_bs_books_26/257-4516497-4787268?pd_rd_i=B09RV2Z55D&psc=1;Sandeep Garg;₹354.00;34;4.6 out of 5 stars;Paperback
365 Colouring Book for Kids - Painting and Drawing Book with 368 Big Pictures;https://www.amazon.in/365-Colouring-Book-Dreamland-Publications/dp/9350895668/ref=zg_bs_books_27/257-4516497-4787268?pd_rd_i=9350895668&psc=1;Dreamland Publications;₹210.00;4,605;4.6 out of 5 stars;Paperback
Very First Sight Words Sentences Level 2;https://www.amazon.in/First-Sight-Words-Sentences-Level/dp/9388371305/ref=zg_bs_books_28/257-4516497-4787268?pd_rd_i=9388371305&psc=1;Dreamland Publications;₹120.00;3,837;4.5 out of 5 stars;Paperback
How to Crack Test Of Reasoning- REVISED EDITION;https://www.amazon.in/How-Crack-Test-Reasoning-Jaikishan/dp/9313166755/ref=zg_bs_books_29/257-4516497-4787268?pd_rd_i=9313166755&psc=1;Jaikishan;₹150.00;4,635;4.3 out of 5 stars;Paperback
Sapiens: A Brief History of Humankind;https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=zg_bs_books_30/257-4516497-4787268?pd_rd_i=0099590085&psc=1;Yuval Noah Harari;₹403.55;43,039;4.7 out of 5 stars;Paperback
A Brief History of Modern India (2019-2020 Edition) by Spectrum Books;https://www.amazon.in/Brief-History-Modern-2019-2020-Spectrum/dp/8179307212/ref=zg_bs_books_1/262-6957909-0343763?pd_rd_i=8179307212&psc=1;not_available;₹349.00;10,764;4.5 out of 5 stars;Paperback
Wise and Otherwise: A salute to Life;https://www.amazon.in/Wise-Otherwise-salute-Sudha-Murty/dp/0143062220/ref=zg_bs_books_2/262-6957909-0343763?pd_rd_i=0143062220&psc=1;not_available;₹209.00;4,321;4.6 out of 5 stars;Paperback
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry;https://www.amazon.in/How-Stop-Worrying-Start-Living/dp/8175993952/ref=zg_bs_books_3/262-6957909-0343763?pd_rd_i=8175993952&psc=1;Dale Carnegie;₹149.00;17,911;4.4 out of 5 stars;Paperback
